Year,Month,Region,Product_ID,Product_Name,Units_Sold,Unit_Price,Revenue,Discount,Profit,Profit_Margin,Churn_Rate,COGS,Net_Sales,ARPU,CLV
2021,1,Asia,1001,Electronics,1176,399.29,469565.04,0.06,150260.81,0.32,0.09,319304.23,441391.14,399.29,1419.69777777778
2021,1,Asia,1002,Clothing,171,82.22,14059.62,0.02,4920.87,0.35,0.09,9138.75,13778.43,82.22,319.744444444444
2021,1,Asia,1003,Furniture,1737,327.19,568329.03,0.02,170498.71,0.3,0.14,397830.32,556962.45,327.19,701.121428571429
2021,1,Asia,1004,Sports Equipment,435,95.0,41325.0,0.06,6612.0,0.16,0.08,34713.0,38845.5,95,190
2021,1,Asia,1005,Beauty Products,797,16.42,13086.74,0.16,2486.48,0.19,0.02,10600.26,10992.86,16.42,155.99
2021,1,Asia,1006,Home Appliances,749,186.35,139576.15,0.14,44664.37,0.32,0.04,94911.78,120035.49,186.35,1490.8
2021,1,Asia,1007,Toys,1640,491.7,806388.0,0.14,282235.8,0.35,0.11,524152.2,693493.68,491.7,1564.5
2021,1,Asia,1008,Books,890,37.2,33108.0,0.28,12912.12,0.39,0.12,20195.88,23837.76,37.2,120.9
2021,1,Asia,1009,Automotive,826,12.9,10655.4,0.07,1385.2,0.13,0.11,9270.2,9909.522,12.9,15.2454545454545
2021,1,Asia,1010,Groceries,1501,250.11,375415.11,0.01,138903.59,0.37,0.05,236511.52,371660.96,250.11,1850.814
2021,1,Asia,1011,Jewelry,1945,378.9,736960.5,0.13,88435.26,0.12,0.09,648525.24,641155.635,378.9,505.2
2021,1,Asia,1012,Health Supplements,1550,484.94,751657.0,0.23,285629.66,0.38,0.14,466027.34,578775.89,484.94,1316.26571428571
2021,1,Asia,1013,Pet Supplies,319,365.0,116435.0,0.1,29108.75,0.25,0.08,87326.25,104791.5,365,1140.625
2021,1,Asia,1014,Office Supplies,1775,166.04,294721.0,0.12,41260.94,0.14,0.13,253460.06,259354.48,166.04,178.812307692308
2021,1,Asia,1015,Footwear,1995,482.8,963186.0,0.18,144477.9,0.15,0.05,818708.1,789812.52,482.8,1448.4
2021,1,Asia,1016,Gardening Tools,1886,41.9,79023.4,0.3,25287.49,0.32,0.04,53735.91,55316.4,41.9,335.2
2021,1,Asia,1017,Kitchenware,1545,11.97,18493.65,0.06,5548.1,0.3,0.12,12945.55,17384.03,11.97,29.925
2021,1,Asia,1018,Musical Instruments,428,41.65,17826.2,0.11,1604.36,0.09,0.13,16221.84,15865.318,41.65,28.8346153846154
2021,1,Asia,1019,Stationery,1913,227.48,435169.24,0.03,78330.46,0.18,0.1,356838.78,422114.16,227.48,409.464
2021,1,Asia,1020,Travel Accessories,854,366.16,312700.64,0.19,112572.23,0.36,0.08,200128.41,253287.52,366.16,1647.72
2021,1,Europe,1001,Electronics,662,486.0,321732.0,0.25,96519.6,0.3,0.04,225212.4,241299,486,3645
2021,1,Europe,1002,Clothing,447,249.43,111495.21,0.16,22299.04,0.2,0.01,89196.17,93655.98,249.43,4988.6
2021,1,Europe,1003,Furniture,1534,104.85,160839.9,0.27,35384.78,0.22,0.09,125455.12,117413.127,104.85,256.3
2021,1,Europe,1004,Sports Equipment,1973,454.25,896235.25,0.07,170284.7,0.19,0.12,725950.55,833498.78,454.25,719.229166666667
2021,1,Europe,1005,Beauty Products,1109,471.71,523126.39,0.18,151706.65,0.29,0.13,371419.74,428963.64,471.71,1052.27615384615
2021,1,Europe,1006,Home Appliances,731,405.02,296069.62,0.19,106585.06,0.36,0.12,189484.56,239816.39,405.02,1215.06
2021,1,Europe,1007,Toys,1629,211.17,343995.93,0.26,55039.35,0.16,0.03,288956.58,254556.99,211.17,1126.24
2021,1,Europe,1008,Books,1546,162.41,251085.86,0.03,32641.16,0.13,0.07,218444.70,243553.28,162.41,301.618571428571
2021,1,Europe,1009,Automotive,677,179.52,121535.04,0.09,13368.85,0.11,0.08,108166.19,110596.89,179.52,246.84
2021,1,Europe,1010,Groceries,367,114.94,42182.98,0.04,7171.11,0.17,0.14,35011.87,40495.66,114.94,139.57
2021,1,Europe,1011,Jewelry,1447,113.29,163930.63,0.17,31146.82,0.19,0.02,132783.81,136062.42,113.29,1076.255
2021,1,Europe,1012,Health Supplements,491,481.41,236372.31,0.08,52001.91,0.22,0.05,184370.40,217462.53,481.41,2118.204
2021,1,Europe,1013,Pet Supplies,1698,498.88,847098.24,0.08,330368.31,0.39,0.07,516729.93,779330.38,498.88,2779.47428571429
2021,1,Europe,1014,Office Supplies,904,142.93,129208.72,0.27,16797.13,0.13,0.03,112411.59,94322.37,142.93,619.363333333333
2021,1,Europe,1015,Footwear,1757,226.65,398224.05,0.17,103538.25,0.26,0.02,294685.80,330525.96,226.65,2946.45
2021,1,Europe,1016,Gardening Tools,1257,122.63,154145.91,0.22,27746.26,0.18,0.1,126399.65,120233.81,122.63,220.734
2021,1,Europe,1017,Kitchenware,247,202.42,49997.74,0.24,16499.25,0.33,0.03,33498.49,37998.28,202.42,2226.62
2021,1,Europe,1018,Musical Instruments,236,97.33,22969.88,0.01,5972.17,0.26,0.1,16997.71,22740.18,97.33,253.058
2021,1,Europe,1019,Stationery,452,357.02,161373.04,0.24,27433.42,0.17,0.02,133939.62,122643.51,357.02,3034.67
2021,1,Europe,1020,Travel Accessories,538,347.01,186691.38,0.12,70942.72,0.38,0.03,115748.66,164288.41,347.01,4395.46
2021,1,Americas,1001,Electronics,522,108.49,56631.78,0.16,16423.22,0.29,0.04,40208.56,47570.70,108.49,786.5525
2021,1,Americas,1002,Clothing,193,409.52,79037.36,0.17,18968.97,0.24,0.04,60068.39,65601.01,409.52,2457.12
2021,1,Americas,1003,Furniture,1377,482.88,664925.76,0.17,239373.27,0.36,0.04,425552.49,551888.38,482.88,4345.92
